,ID,text,target,target_name,first_target
3,ynat-v1_train_01356,네이버 인앱 결제 시범 서비스 개시,3,사회,IT과학
25,ynat-v1_train_00355,"매일신문, 이달 편집상 선정 논란 최소화를 위한 '거리두기' 추진",0,생활문화,사회
81,ynat-v1_train_00700,"삼성전자, 신제품 갤럭시 S9 퀀텀 패키지 출시...5천대 한정 판매",5,경제,IT과학
90,ynat-v1_train_02235,"日, 중국의 부상속에 홀로 남은 한국 AI 실력",4,IT과학,세계
108,ynat-v1_train_00916,갤럭시 S23은 혁신적인 카메라 기능으로 관심을 끌고 있다.,6,세계,IT과학
118,ynat-v1_train_00323,"청와대로 가는 길, 율곡 이이와 김어준의 뉴(공장) 청취는 정치적",3,사회,정치
120,ynat-v1_train_01488,공항 확충 공사로 인한 시민의 불편과 교통 혼란에 대한 우려.,2,정치,사회
317,ynat-v1_train_01256,"정부, ""자율주행차 도로시험""을 위한 규제샌드박스 시행(종합)",5,경제,IT과학
367,ynat-v1_train_00787,"제주도 여행객, 공항에서 관광객 북제역으로 이동",3,사회,생활문화
369,ynat-v1_train_00376,"서울시청팀 비정규직 노동자 투쟁, YG 공연술 사용 최초 공개",4,IT과학,사회
376,ynat-v1_train_02062,국민의 인 대위 장 아 위 장 맡,2,정치,사회
390,ynat-v1_train_00503,서진강댐을 방문한 김 장관이 환경보호와 지역경제 활성화에 대해 논의한다.,3,사회,정치
428,ynat-v1_train_00086,AI 진단 기술의 발전과 의료 분야의 혁신 가속화.,6,세계,IT과학
439,ynat-v1_train_01781,"알뜰폰 시장, 헬로 사업자협회와 갈등 심화",5,경제,IT과학
507,ynat-v1_train_01850,교육부가 새로운 네 가지 선택형 시험을 도입한다... 학생들을 위한 대책을 마련한다.,2,정치,사회
529,ynat-v1_train_01065,외무 보안부 차관의 보고서... 9월 19일 군사 협정에 대한 검토.,2,정치,세계
537,ynat-v1_train_00541,"국문협, U상에 임훈 감독 선임...K리그 전술 혁신 예고",0,생활문화,스포츠
610,ynat-v1_train_02471,"오지래 경영진, 6개 계열사 매각 추진...재무구조 개선 시도",3,사회,경제
617,ynat-v1_train_02096,황교안의 빠른 트랙을 통한 단절 유도 @spo... 청와대 점검에 대한 뜨거운 논쟁,3,사회,정치
674,ynat-v1_train_02134,"박근혜 대통령, 올림픽 선수단 응원",1,스포츠,정치
692,ynat-v1_train_00348,- 2차 배당 문 다시 열어...라디오 MTV 토크쇼 5분 특별 방송,6,세계,생활문화
704,ynat-v1_train_02673,환경부가 '무림' 여성 결혼을 위한 우대 정책을 추진하고 있다.,6,세계,사회
710,ynat-v1_train_00065,IMF에서 발생한 이 사건은 국제사회의 긴장을 높였습니다.,2,정치,세계
738,ynat-v1_train_02433,마크롱 대통령은 G7 정상회의에서 글로벌 안보에 대한 논의를 주도할 것이다.,2,정치,세계
788,ynat-v1_train_01062,"LG화학, 배터리 사업 분사...고강도 대책 발표",3,사회,경제
797,ynat-v1_train_02175,"SK텔레콤, 독거노인 케어 서비스로 GSMA 우수사례 수상",3,사회,IT과학
806,ynat-v1_train_02096,황교안 단식중단 유도 패스트트랙 대치 @속...청와대 감찰의혹 공방 가열,3,사회,정치
810,ynat-v1_train_00815,네이버 투 호 스 트업은 배달앱 류 서 스社,5,경제,IT과학
820,ynat-v1_train_00541,임훈 국가대표팀 감독 및 U-up...K리그 전략 혁신 예고.,0,생활문화,스포츠
835,ynat-v1_train_02213,LGU+는 5G 가입자 100만 명의 이정표를 축하하기 위해 고금리 저축계좌를 출시한다.,4,IT과학,경제
845,ynat-v1_train_01383,문재인 대통령의 워싱턴 방문에 이어 한미정상회담이 열릴 예정이다.,6,세계,정치
855,ynat-v1_train_00503,"섬진강댐 방문한 김 장관, 환경 보호와 지역 경제 활성화 논의",3,사회,정치
887,ynat-v1_train_02134,"박근혜 대통령, 올림픽 선수단에 응원",1,스포츠,정치
900,ynat-v1_train_01745,네이버 I&I에서 표절을 방지하는 26가지 방법.,3,사회,IT과학
907,ynat-v1_train_01745,"네이버, 개인정보 도용 방지 기술 업데이트 발표",3,사회,IT과학
1008,ynat-v1_train_02469,갤럭시 S21 5G 모델이 시장에서 뜨거운 모습을 보이고 있다.,0,생활문화,IT과학
1017,ynat-v1_train_01125,SKT 사용 갈 우려 정부 문제,5,경제,IT과학
1030,ynat-v1_train_00345,광공사 페루 여 자 무장 도 의해,0,생활문화,세계
1079,ynat-v1_train_00325,그 픽 택 가 현실화율 세 산 식,5,경제,IT과학
1084,ynat-v1_train_02146,"하나은행, 호국보훈단체에 기부금 약 1억 전달",3,사회,경제
1111,ynat-v1_train_02115,SK텔레콤 기 이면 마트 정 끝,5,경제,IT과학
1124,ynat-v1_train_00650,LG전자 소상공인을 위한 AI 기반 키오스크 출시,3,사회,IT과학
1144,ynat-v1_train_00091,건강을 되찾기 위한 한의학의 새로운 패러다임 천한방 DSN.,3,사회,생활문화
1149,ynat-v1_train_00911,"중국, 비트코인 관련 사기범 출국 금지 조치",5,경제,세계
1279,ynat-v1_train_00927,"LG유플러스, 2018년 지속가능 경영 실적 공개",3,사회,경제
1300,ynat-v1_train_00310,"SK텔레콤, 충청지역 폭우 피해복구 전력 다룸",0,생활문화,IT과학
1307,ynat-v1_train_00192,서울 지하철 9호선 탈선 사고로 4명 부상,0,생활문화,사회
1338,ynat-v1_train_01803,특징/갤럭시 Z1 조기 중단 부품 충돌 포괄적입니다.,5,경제,IT과학
1412,ynat-v1_train_02433,"마크롱 대통령, G7 정상회의서 글로벌 안보 논의 주도",2,정치,세계
1437,ynat-v1_train_00860,"애플, KT와 협력해 5G 기술 혁신 가속화",5,경제,IT과학
1549,ynat-v1_train_01173,5G 스마트폰에 대한 최대 기본요금은 50만 원이다.,5,경제,IT과학
1646,ynat-v1_train_00459,트럼프 대통령은 일본 방문 중 북한과의 무역 적자에 대해 논의한다.,2,정치,세계
1660,ynat-v1_train_01301,"4차 산업혁명 예산 16억원 투입, 인공지능 설비 구축",5,경제,IT과학
1694,ynat-v1_train_01987,"창천, 도로 확충 및 국토부 지원으로 승격",1,스포츠,사회
1717,ynat-v1_train_02215,"전국리기 3대회, 경주 황선홍 감독의 전략적 지휘로 우승",0,생활문화,스포츠
1720,ynat-v1_train_01929,"정부는 '제8차 경제정책 강화'를 다시 강조하고 있는데, 이는 통일정책을 보완하는 것이 필수적이다.",3,사회,정치
1723,ynat-v1_train_02506,"김철민 폐암, 유쾌함 전달하는 자선 공연",3,사회,생활문화
1769,ynat-v1_train_01249,적의 공격 능력이 강화되고 있는 상황에서 미국의 대응은 점점 더 중요해지고 있다.,2,정치,세계
1841,ynat-v1_train_00087,한 교사가 6월 CSAT 모의고사 문제 유출 혐의로 구속됐다.,0,생활문화,사회
1875,ynat-v1_train_02638,"삼성전자, AI 기반 새 버전 공개로 업무 효율성 극대화",6,세계,IT과학
1950,ynat-v1_train_01163,축구계는 월드컵 예선을 앞두고 높은 경계를 늦추고 있다.,6,세계,스포츠
1951,ynat-v1_train_01149,"청주시, 올해 국비 목표 초과 달성...지역 경제 활성화 기대",5,경제,사회
1954,ynat-v1_train_01371,브렉시트 협상은 영국 경제에 심각한 피해를 입힌다.,2,정치,세계
1994,ynat-v1_train_02341,"오세훈 서울시장 ""당 의원들과 다뤄야 한다"" 경의선철도사업에 대한 반대.",3,사회,정치
2185,ynat-v1_train_01495,미국 G7 정상회의에서 글로벌 경제 회복에 대한 논의.,2,정치,세계
2269,ynat-v1_train_01839,"갤럭시 S23 울트라, S23, S23 미니 동시 출시...프리미엄 라인업 강화",5,경제,IT과학
2318,ynat-v1_train_01751,"AI 융합, 제조업·ICT 산업 분야 차별화전략 과제로 거론",5,경제,IT과학
2353,ynat-v1_train_00342,"이종근 도서관장, 2만 4천 91권 소장",3,사회,생활문화
2373,ynat-v1_train_01010,노무현 대통령이 '국민과의 대화'를 시작합니다... 국민에게 귀를 기울이다.,0,생활문화,정치
2440,ynat-v1_train_01839,"갤럭시 S23 울트라, S23, S23 미니의 동시 출시... 프리미엄 라인업 강화.",5,경제,IT과학
2455,ynat-v1_train_01324,아르메니아 교육부가 보안 바이러스 발생 경보를 강화한다.,4,IT과학,세계
2477,ynat-v1_train_01173,"최신 5G 스마트폰, 합리적 가격에 기본 요금제 제공...시장 반응 기대",5,경제,IT과학
2513,ynat-v1_train_02202,"실제 일어난 괴문에 8월, 식은... 밥 포럼 5000달러 투자해 험난하니",4,IT과학,세계
2545,ynat-v1_train_00477,민주당은 연말 방역 대책을 발표한다... G구와 협력해 5G 기반 방역 시스템을 도입한다.,3,사회,정치
2602,ynat-v1_train_02462,"경상수지 10개월 연속 흑자, 경제 회복 신호",6,세계,경제
2616,ynat-v1_train_01390,'모바일 제품' 오픈 콘테스트 개최로 소비자권 보호 강화...,0,생활문화,IT과학
2672,ynat-v1_train_02667,"정보관, '난항한 남북 대화' 북한 문제 이견 없다 선언",6,세계,정치
2765,ynat-v1_train_02034,금융감독원이 가계부채 관리 강화 방안을 발표한다.,3,사회,경제
2832,ynat-v1_train_00805,"고용안정지원금 오프라인 신청, 첫날부터 불편 속",5,경제,사회
2833,ynat-v1_train_00264,"대우조선사로부터 4,199억 원 상당의 LNG 운송선 2척을 주문했다.",3,사회,경제
2913,ynat-v1_train_00454,삼성 AI는 업무 효율성을 높입니다... 새로운 버전 출시로 혁신을 가속화합니다.,6,세계,IT과학
2944,ynat-v1_train_02434,"라즈베리 로즈, 매력적인 연출",4,IT과학,생활문화
2948,ynat-v1_train_01629,한국에서 만든 IT 룬의 6초... 쾌활한 바너 인입니다.,6,세계,IT과학
2968,ynat-v1_train_01393,전 회장 K씨가 아주대학교 본문 앞에서 휠체어를 타고 보였다. 비극적인 죽음 소식이다.,5,경제,사회
2972,ynat-v1_train_01157,에콰도르! 사기 사건 대신 뇌물 희생자 2명이 밝혔습니다.,3,사회,세계
2997,ynat-v1_train_01520,"지방자치단체와 저소득층에 대한 지원 부족, 사과해야 할 부분이다.",5,경제,사회
2999,ynat-v1_train_02774,"문 대통령, '디지털 뉴딜 로드맵' 내거치다",3,사회,정치
3017,ynat-v1_train_00522,"신재희, 올림픽에 나서",0,생활문화,스포츠
3096,ynat-v1_train_00098,올 여름 서울 폭염 기록적인 더위 예상,4,IT과학,생활문화
3104,ynat-v1_train_00689,"카카오톡 방 링크 검색, 개인정보법 위반 논란 재점화",3,사회,IT과학
3133,ynat-v1_train_01984,"북한, '사회와 핵·미사일 문제' 새 전략 발표 (8일 상해 회의)",6,세계,정치
3149,ynat-v1_train_01958,"재신도시 계획, 대규모 교통 대책 필요...굴착기 두꺼운 소음 2차선 도로 3개월 반성없이 탓",2,정치,사회
3196,ynat-v1_train_00034,"대북결의안 이행 보고서, 나 육박 개",6,세계,정치
3236,ynat-v1_train_00533,국민건강검진 결과 통보 지연 문제,4,IT과학,사회
3264,ynat-v1_train_01393,아주대 정문 지 는 중 전 회장 운구 차량,5,경제,사회
3299,ynat-v1_train_01483,싱가포르 정부와 태국 일부 지역 등 6개국에 대한 9일 여행 제한을 해제해 주세요.,3,사회,세계
3324,ynat-v1_train_01384,"북한, 군사적 긴장 고조 속 또 다른 로켓 엔진 시험 실시",6,세계,정치
3331,ynat-v1_train_00459,미국 대통령이 북한과 일본의 무역 적자 문제를 해결하려고 한다.,2,정치,세계
3339,ynat-v1_train_02743,삼성전자 주주총회 2일 개최...8주주 발언 기대,2,정치,경제
3363,ynat-v1_train_02310,"프로야구 스타 김씨, 무릎 수술 후 첫 복귀 경기에서 팬들 환호",0,생활문화,스포츠
3402,ynat-v1_train_01600,네이버와 '웨이플러스'는 이벤트가 가득 차 있다.,0,생활문화,IT과학
3457,ynat-v1_train_00458,"U-23, 맑은 날의 축구 경기에서 뛰어난 활약.",0,생활문화,스포츠
3464,ynat-v1_train_01829,정상회의 5개국 간 합의 발표...중국의 주요 역할.,2,정치,세계
3595,ynat-v1_train_01639,"PVC 제조공장 화재, 2억 5천만원 손실",3,사회,경제
3606,ynat-v1_train_01529,민주당 본부 대표 선거 회의,3,사회,정치
3663,ynat-v1_train_01563,"거대한 인공지능, 안랩 불성실공시법인 지정",3,사회,IT과학
3716,ynat-v1_train_01007,"거자 해양공원, 겨울 정비 완료...3월부터 다시 열린다.",3,사회,생활문화
3721,ynat-v1_train_01585,"청년층, 청렴사회 공감 동시에 경제위축 우려",2,정치,사회
3829,ynat-v1_train_00983,"한미정상회담이 오는 9일 열릴 예정인데 북한의 핵, 무역, 투자 협력에 대한 논의가 이뤄질 예정이다.",6,세계,정치
3869,ynat-v1_train_01887," 남편 사랑, 아내 이혼 청구",6,세계,사회
3970,ynat-v1_train_02643,KCTU와 법원 판결은 파업권을 강화했다.,2,정치,사회
4011,ynat-v1_train_02774,문 대통령이 '디지털 뉴딜 로드맵'을 통과하고 있다.,3,사회,정치
4022,ynat-v1_train_02615,혁신적인 기술로 국가 경제 발전에 기여하는 삼성전자.,3,사회,IT과학
4056,ynat-v1_train_00089,서울시 내비게이션 서비스 개선 및 대중 참여 유도.,3,사회,IT과학
4069,ynat-v1_train_01925,이 크 메니스 총리에 국 협력,2,정치,세계
4080,ynat-v1_train_00996,"LH, 광주 전남 지역 19,000㎡의 토지 매매가 시작된다.",0,생활문화,경제
4114,ynat-v1_train_00176,北발사체에 미일 당국자 통화 한미일 협력 확인,6,세계,정치
4158,ynat-v1_train_00244,"삼성 AI, 업무 효율 극대화...새 버전 공개로 혁신 가속",6,세계,IT과학
4173,ynat-v1_train_01777,문재인 정부의 블록체인 기술 도입과 한국 경제의 개선.,0,생활문화,IT과학
4256,ynat-v1_train_01115,경제 성장을 도모하기 위해 기획재정부와 전자조직과 협력하고 있다.,6,세계,정치
4266,ynat-v1_train_00209,"몽니 선거 캠페인 참여, 누군주(당 압력)",2,정치,세계
4285,ynat-v1_train_00306,"네트워크, 연말연시 안정운영 위한 특별대책 발표",4,IT과학,사회
4299,ynat-v1_train_00513,"군부 내 사이버 도박, 올해 40건 경찰 적발",3,사회,세계
4315,ynat-v1_train_02483,"광주전남 지역 사진작가들의 작품, 전남도청서에서 첫 전시",1,스포츠,생활문화
4352,ynat-v1_train_02134,"박 대통령, 올림픽 우리 선수단 응원",1,스포츠,정치
4379,ynat-v1_train_02318,문재인 총리가 야당의 반대에도 불구하고 정책을 추진하겠다는 의지를 밝힌다.,6,세계,정치
4443,ynat-v1_train_02020,"트럼프 정상회담 3대 의제로 무역, 북핵, 동맹 강화 논의",5,경제,세계
4457,ynat-v1_train_01125,SKT 010 번호 9432 사용 우려...정부 문제 제기,5,경제,IT과학
4496,ynat-v1_train_02462,"10개월 연속 경상수지 흑자, 경기 회복 신호.",6,세계,경제
4506,ynat-v1_train_01745,네이버가 개인정보 오용 방지 기술 업데이트를 발표한다.,3,사회,IT과학
4517,ynat-v1_train_02018,우크라이나 평화 회담에서 시민들의 의견을 반영합니다.,0,생활문화,세계
4523,ynat-v1_train_02151,"류희인 본부장, 개막 강연 진행",3,사회,생활문화
4531,ynat-v1_train_01062,"LG화학, 고강도 대책 통해 사업 재편 본격 추진",3,사회,경제
4541,ynat-v1_train_01010,"노무현 대통령, '국민과의 대화' 시작...경청하는 국민",0,생활문화,정치
4575,ynat-v1_train_01461,"인공지능, 드디어 등장",0,생활문화,IT과학
4636,ynat-v1_train_00646,시스템 반도체 수출 전년 대비 30% 증가,4,IT과학,경제
4680,ynat-v1_train_01630,"정부, '인터넷 중독' 청소년 100만 명 구조 요청...새로운 대책 마련",6,세계,사회
4687,ynat-v1_train_01529,민주당 전당대회로 임석하는 대표 선출 회의,3,사회,정치
4690,ynat-v1_train_02471,OJ 라이프와 6개 자회사의 매각 보고서를 사실 확인하고 있습니다...재무 안정성을 찾고 있습니다.,3,사회,경제
4697,ynat-v1_train_02425,"프로야구 시즌 개막, 윤호영 무릎 수술 지원 소식",0,생활문화,스포츠
4708,ynat-v1_train_00132,"바르셀로나를 떠나 빌바오에 합류한 메시, 축구계의 큰 파도.",0,생활문화,스포츠
4731,ynat-v1_train_00998,"야권연대 성사, 총선 앞두고 정치판 흔들다",6,세계,정치
4784,ynat-v1_train_02380,"온라인, 북매체 로켓 발사 성공에 축하 메시지 쏟아진다",2,정치,세계
4800,ynat-v1_train_01424,"연구대상 전직 대법관, 영장 기각에 항의",2,정치,사회
4801,ynat-v1_train_01746,미국의 제재로 인해 북한이 올림픽에 참가하는 것을 금지하기 위한 네트워크를 구축하려는 시도.,4,IT과학,세계
4860,ynat-v1_train_00830,"8개국을 의도치 않게 방문했음에도 불구하고 우리는 북한에도 관심이 있다""고 밝혔다.",6,세계,정치
4901,ynat-v1_train_00237,"홍 후보, 총선 출마 선언...정치권 지각 변동 예고",6,세계,정치
4922,ynat-v1_train_00005,"미성인, 배우자・연인 빚 담당률 16% ",6,세계,경제
4927,ynat-v1_train_02260,"산불 확산, 지역 사회 긴급 대응 체제 돌입",0,생활문화,사회
4976,ynat-v1_train_00735,"정부 '퀄컴, 삼성전자 5G 특허 라이선스 계약 체결'",5,경제,IT과학
5023,ynat-v1_train_01728,"아마존, AI 알렉사 앱 업데이트로 스마트홈 제어 강화",6,세계,IT과학
5056,ynat-v1_train_01386,한 일 몽골 전문 미세먼 해 위해 았다,3,사회,생활문화
5173,ynat-v1_train_01377,"포스팅 KT 1위 기념행사, 고객 감사행사 1.",3,사회,IT과학
5209,ynat-v1_train_00650,LG유플러스가 소상공인을 위한 맞춤형 커뮤니케이션 서비스 패키지를 선보인다.,3,사회,IT과학
5214,ynat-v1_train_01424,"대법관 전임자, 영장 기각에 반발",2,정치,사회
5242,ynat-v1_train_01488,"공항 확장 공사로 시민 불편, 교통 대란 우려",2,정치,사회
5268,ynat-v1_train_01349,"관광 올림픽, 강원도에 외국인 관광객 만 명 이끌어",3,사회,생활문화
5460,ynat-v1_train_01495,"G7 정상회의, 기후변화 대응, 디지털 트랜스포메이션 분야 협력 강화.",2,정치,세계
5507,ynat-v1_train_01656,"문 대통령 역사 논란, 日언론 자체 검토에 압박",6,세계,정치
5511,ynat-v1_train_01629,"링의 링을 국내에서 성공적으로 생산하고, 바그너의 음악과 함께 글로벌 시장에 도전한다.",6,세계,생활문화
5514,278,美 北 무수단 미사일 발사 준비...軍 추가 도발 대비 감시 강화종합,2,정치,세계
5523,ynat-v1_train_00132,프로농구 스타 윤호영이 무릎 수술을 위해 650만원을 지원한다.,0,생활문화,스포츠
5554,ynat-v1_train_00237,홍 후보는 총선에 출마합니다... 정치적 인식의 변화를 예측합니다.,6,세계,정치
5572,ynat-v1_train_01142,현 대통령 환한 표정으로 기자회견 진행,0,생활문화,정치
5577,ynat-v1_train_00069,고용 안정성 제고를 위한 중소기업 지원 확대와 B부문 활성화 정책,2,정치,사회
5597,ynat-v1_train_02471,"오지라이프 임원들, 6개 계열사 매각 추진...재무 구조 개선 시도",3,사회,경제
5622,ynat-v1_train_00891,도시의 혁신적인 아이디어인 국제 수혈 대회로 관심을 끌었습니다.,3,사회,생활문화
5631,ynat-v1_train_01384,북한이 군사적 긴장이 고조된 상황에서 또 다른 로켓 엔진 시험을 한다.,6,세계,정치
5641,ynat-v1_train_00190,등소평이 중국 개혁개방의 길을 열었다!,3,사회,세계
5668,ynat-v1_train_02260,"산불의 확산, 지역 사회의 비상 대응 시스템으로의 진입.",0,생활문화,사회
5716,ynat-v1_train_02237,트럼프 대통령이 미국의 핵 제재를 해제하기 위한 대화를 시작한다...북핵 문제 해결에 대한 수상,2,정치,세계
5719,ynat-v1_train_00860,애플과 KT의 협력으로 차세대 통신 기술의 개발이 본격화될 것이다.,5,경제,IT과학
5722,ynat-v1_train_00132,"프로농구 스타 윤호영, 무릎 수술 비용 650만원 지원",0,생활문화,스포츠
5831,ynat-v1_train_00459,"미국 대통령, 일본서 북한 무역적자 해결 모색",2,정치,세계
5903,ynat-v1_train_00089,"서울시 내비게이션 서비스 개선, 국민 참여 유도",3,사회,IT과학
5905,ynat-v1_train_01894,"미국과 중국, 북한의 비밀 핵실험 정보 공유 중",2,정치,세계
5917,ynat-v1_train_01253,필델과 함께 끝없는 사막에서 신혼여행처럼 아름다운 풍경을 바라봅니다.,6,세계,생활문화
5922,ynat-v1_train_01910,인도하는 민주당 7대 공약,2,정치,세계
5946,ynat-v1_train_02020,"정상회담 앞두고 미-중, 무역 및 기술 패권 문제 집중 논의",5,경제,세계
5977,ynat-v1_train_01589,"유은혜 교육부 장관 ""군복무 중 성소수자 차별된다"" 주장",6,세계,사회
6031,ynat-v1_train_00257,시인들이 시각장애인을 포용하여 사회적 파장을 일으킨 작품들.,3,사회,생활문화
6083,ynat-v1_train_01274,프로 풋볼 스타 Xu는 6개국 투어에서 팬들과 소통합니다.,0,생활문화,스포츠
6131,ynat-v1_train_02514,"한국총영사관, 애니메이션 산업 지원 확대 방안 논의",6,세계,사회
6154,ynat-v1_train_01253,끝없이 펼쳐진 사막에서 honeymoon(허니문)처럼 아름다운 풍경을 바라보며 필델(Pildel)과 함께,6,세계,생활문화
6156,ynat-v1_train_00192,"SPT뚝 사고, 안전 대책 시급",0,생활문화,사회
6184,ynat-v1_train_01745,"네이버, 아이n 도용 방지 시스템 강화로 사용자 보호",3,사회,IT과학
6317,ynat-v1_train_00459,"트럼프/일본 방문, 북한과의 무역 적자 논의 32",2,정치,세계
6384,ynat-v1_train_00198,"버닝썬, 우리가 알아야 할 것",3,사회,생활문화
6472,ynat-v1_train_00708,"한진중공업 주식, 필리핀 토지은행·리잘상업은행에 매각",6,세계,경제
6480,ynat-v1_train_01746,美 웨 제재로 망 구축 질 까종합,4,IT과학,세계
6485,ynat-v1_train_00310,"SK텔레콤, 충청지역 폭우로부터 통신망 복구",0,생활문화,IT과학
6486,ynat-v1_train_01839,삼성전자의 새로운 갤럭시 S23 시리즈는 오는 9일 출시되며 가격은 100만원 정도다.,5,경제,IT과학
6502,ynat-v1_train_02020,미중 정상회담에서 3대 쟁점을 중심으로 격렬한 협상이 진행 중이다.,5,경제,세계
6567,ynat-v1_train_01614,LG G7 ThinQ 디스플레이 LCD 마킹 및 품질 논란,3,사회,IT과학
6585,ynat-v1_train_02120,"뮤지컬 '벨·뮬로바·마이스키' 클래식 스타, 일주일 간격 출연",1,스포츠,생활문화
6594,ynat-v1_train_01676,"애플, v플 앱스 출시로 음악 스트리밍 시장 공략 강화",5,경제,IT과학
6611,ynat-v1_train_01563,"안랩, 공시법인 지정에 따른 불성실공시 제재",3,사회,경제
6749,ynat-v1_train_00927,"LG유플러스, 2018년 지속가능 경영 실적 담은 보고서 공개",3,사회,경제
6807,ynat-v1_train_00523,LG G6 성 갤S8 제치고 영상 1위종합,5,경제,IT과학
6822,ynat-v1_train_02469,'시판 스마트폰 5GX 모델 출시 기념 이벤트 크게 진행',0,생활문화,IT과학
6825,ynat-v1_train_00392,주사 에어온 트레이/아이스 시범,6,세계,IT과학
6843,ynat-v1_train_01591,"보수당, 더민주-국민의당 결집 눈치...정부 공격 온세",2,정치,세계
6858,ynat-v1_train_01371,태처 총리가 수립한 브렉시트 국가연합안은 엄격한 결과를 가져왔다.,2,정치,세계
