,ID,text,target,target_name,second_target
178,ynat-v1_train_02197,"한진해운, 거점항만서 선박 유도·화물 하역",6,세계,경제
310,ynat-v1_train_01062,"LG화학, 배터리사업부... 고강도 대책 발표.",3,사회,경제
432,ynat-v1_train_00204,"정부, '일본 수출 규제' 대응해 독과점 규제 강화",3,사회,세계
497,ynat-v1_train_01105,"삼성전자, AI 기반 업무 효율화 새 버전 공개",5,경제,IT과학
541,ynat-v1_train_00815,"네이버, 배달앱·서빙 서비스 스타트업과 협력 강화",5,경제,IT과학
827,ynat-v1_train_00888,간편결제 위 모바일결 삼성페,5,경제,IT과학
1106,ynat-v1_train_01411,[삼성차 더 뉴 그랜저와 스팅어 출시... 저금리 대출 혜택],0,생활문화,경제
1107,ynat-v1_train_01239,"삼성, AI 기반 업무 효율성 극대화한 새 버전 스마트폰 출시",5,경제,IT과학
1176,ynat-v1_train_00601,"강정호, MLB 복귀 앞두고 피츠버그와 계약 협상 중",6,세계,스포츠
1251,ynat-v1_train_00860,애플 이 서 루만 천 등 대박,5,경제,IT과학
1393,ynat-v1_train_00523,LGU+ G6와 삼성 갤럭시 S8이 동영상 서비스 시장을 선도하고 있다.,5,경제,IT과학
1427,ynat-v1_train_01417,"與 ""3차 재난지원금 검토 중...혁신형 카드사 먼저 처리""",3,사회,정치
2082,ynat-v1_train_02528,SKT 만명 파 비 개시 만,5,경제,IT과학
2372,1282,美 北발사체에 미일 당국자 통화...한미일 안보 협력 확인,2,정치,세계
2456,ynat-v1_train_01096,"한국LNG선, 세계 시장 점유율 확대...글로벌 해운업계 주목",0,생활문화,경제
2527,ynat-v1_train_02670,올해 2월 일본에서 방사성 오염된 물을 방출하려는 결정에 5개국이 반대하면서 iq.b 제약 시스템이 출범했다.,3,사회,세계
2567,ynat-v1_train_00399,"AI 기술로 혁신하는 카드 산업, 새로운 결제 시스템 도입",0,생활문화,IT과학
2737,ynat-v1_train_01311,이 뉴스는 대 남성이 관심 많네 댓글로 분석한다,4,IT과학,사회
2824,ynat-v1_train_01686,간통죄 폐지 후 박사 학위 받은 한상석 교수 강연,0,생활문화,사회
2871,ynat-v1_train_00499,축구 스타 윤호영이 무릎 수술을 위해 650만원을 지원한다.,0,생활문화,스포츠
2877,ynat-v1_train_00847,"원자력 폐기 계획에 대한 거부, 정치적 갈등의 심화.",2,정치,세계
3016,ynat-v1_train_02471,"오지라이프, 6개 계열사 매각 보도에 사실 확인 중...재무 안정성 모색",3,사회,경제
3186,ynat-v1_train_02682,"박 사장, '드론 자동 비행 보는' 기술 개발",5,경제,IT과학
3230,ynat-v1_train_02262,"혁신적인 등반 기술로 33층 빌딩 오르는 여성, 주목받다",5,경제,생활문화
3262,ynat-v1_train_01274,"Xu, 글로벌 투어로 축구 팬들과의 거리 좁히기",0,생활문화,스포츠
3439,ynat-v1_train_00499,"프로축구 스타 윤호영, 무릎 수술 비용 650만원 지원",0,생활문화,스포츠
3753,ynat-v1_train_00013,삼성전자가 AI 기반 신제품 출시로 업무 효율을 극대화한다.,4,IT과학,경제
3871,ynat-v1_train_02254,"테슬라, 기업용 자율주행 기술 7월 출시 예정",5,경제,IT과학
3914,ynat-v1_train_01253,퍼 끝없는 부 필 델 와 허니문 난,6,세계,생활문화
3948,ynat-v1_train_00804,"유엔, 북한 블랙리스트 확대에 따른 외교적 파장 예상",2,정치,세계
4019,ynat-v1_train_01894,"미국, 중국, 북한이 비밀 핵실험 정보를 공유하고 있다.",2,정치,세계
4192,ynat-v1_train_00103,교육부는 ‘대학교육 혁신’을 목적으로 2조 원을 지출할 예정이다.,5,경제,사회
4298,ynat-v1_train_00570,"정부, '해고라기' 시대정신 강조하며 새 정부 출범 기념 행사 개최",0,생활문화,사회
4593,ynat-v1_train_01980,"로골퍼 박민, 필승 전략으로 펀드 시장에서 두각",1,스포츠,경제
4667,ynat-v1_train_01384,"북한, 추가 도발 경고 속 CBM 로켓 엔진 시험 강행",6,세계,정치
5331,ynat-v1_train_00686,"넥슨, 게임 개발사 아이펀팩토리에 전적 투자",4,IT과학,경제
5512,ynat-v1_train_01759,신종 코로나바이러스 감염증에 치유된 승우 씨의 계약.,1,스포츠,사회
5537,ynat-v1_train_00850,WSJ 스크린 함 란 갤 폴드 조롱 동 상,4,IT과학,세계
5594,ynat-v1_train_00820,청창세법 폐지처에 대한 연 18%의 이자율.,3,사회,경제
5671,ynat-v1_train_00091,"한방 치료의 새로운 패러다임, 천한방DSN으로 건강 되찾다",3,사회,생활문화
5721,ynat-v1_train_00136,리 엔 예비후 사전여론조사 결과 유출 논,2,정치,세계
6040,ynat-v1_train_00560,바티칸의 지침에도 불구하고 종교 시설 격리 규정 위반 사례가 급증했다.,3,사회,세계
6054,ynat-v1_train_01987,"창경궁 도로 확장, 정부 국고 50억 지원",1,스포츠,생활문화
6106,ynat-v1_train_00523,"LGU+ G6, 성 갤S8 넘어서며 영상 서비스 시장 선두로",5,경제,IT과학
6242,ynat-v1_train_00815,네이버는 딜리버리와 서빙 플랫폼을 혁신하기 위해 스타트업과 손을 잡고 있다.,5,경제,IT과학
6339,ynat-v1_train_00287,"프로야구 스타 윤호영, 무릎 수술 비용 650만원 지원",0,생활문화,스포츠
6524,ynat-v1_train_00808,"북한, '미사일 발사' 중단 4국 공동 성명 도입",6,세계,정치
6530,ynat-v1_train_02655,삼성전자가 그래픽 기술 혁신으로 차세대 디스플레이 시장을 선도하고 있다.,5,경제,IT과학
6624,ynat-v1_train_00523,"LGU+ G6, 성 갤S8 제치고 영상 1위 등극",5,경제,IT과학
7836,ynat-v1_train_02197,"한진해운, 거점항만에 선박 집결하며 화물 운반 활성화",6,세계,경제
8452,ynat-v1_train_00343,정의선 현대차그룹 회장 된다 세 경영 본격화종합,2,정치,경제
8934,ynat-v1_train_00807,문재인 대통령의 인도-카자흐스탄 방문 및 문재인 대통령과의 대화.,6,세계,정치
8940,ynat-v1_train_00237,"지원 금지에 대한 소송, 9월 원희룡 후보에 투표하고 싶으면 그렇게 하세요.",6,세계,정치
9157,ynat-v1_train_02514,"한국 애니메이션, 글로벌 시장에서 Z 기회 창출하기",6,세계,생활문화
9270,ynat-v1_train_00551,"Eg한미훈련, 국방성 발표...5협정 개정으로 새로운 국면 맞이",2,정치,세계
9328,ynat-v1_train_02150,"류현진 선수, 시메온 회장 수원 산토스 잠들다",3,사회,스포츠
9457,ynat-v1_train_01207,내일부터 이통 약정요금할인율 로 상향종합,4,IT과학,경제
9487,ynat-v1_train_01275,지금부터 새로운 역사가 될 차뱅은의 지성과 열정.,1,스포츠,생활문화
9656,ynat-v1_train_01607,"정부, '이사회 전자투표 시스템' 추진",4,IT과학,사회
9674,ynat-v1_train_01065,"외무 보안부 차관, 보안 정책 심의 보고서",2,정치,세계
9960,ynat-v1_train_00815,"네이버, 배달 앱, 서빙 서비스 스타트업과의 협력을 강화한다.",5,경제,IT과학
10101,ynat-v1_train_02240,식약처가 집적(集積) 도서관의 [거점·재난·미개설],0,생활문화,사회
10135,ynat-v1_train_00686,넥슨이 게임 개발사 아이피팩토리에 전수투자한다.,4,IT과학,경제
10186,ynat-v1_train_00732,김욱이 경남에서 선거에서 승리합니다...새로운 정치 시대가 시작됩니다.,1,스포츠,정치
10591,ynat-v1_train_01062,LG화학이 고강도 대책 발표...사업 전면 구조조정을 선언한다.,3,사회,경제
11167,500,사장님 이렇게 말씀하시는 미즈타니,6,세계,생활문화
11278,ynat-v1_train_01125,"정부, SKT 요금 인상 문제 해결 위해 논의 착수",5,경제,IT과학
11324,ynat-v1_train_00815,네이버는 스타트업은 배달앱과 키류 서비스社와 협력,5,경제,IT과학
11424,ynat-v1_train_01686,"프로야구 스타 한상석, 은퇴 후 첫 강연...야구 꿈나무들에게 희망 전달",0,생활문화,스포츠
11802,ynat-v1_train_00617,북한은 설에 일 쉰다 년부터 사흘 연휴로 지정,6,세계,정치
11857,ynat-v1_train_00591,시진 낙 지 서 민생행보 까지 만 빈 해소,6,세계,정치
11888,ynat-v1_train_02285,미회담 정 길 진 나 中 고위급 류 통 강조,2,정치,세계
12290,ynat-v1_train_02259,어제 서울이 욕사가 되었나요?,3,사회,생활문화
12416,ynat-v1_train_00650,LG유플러스가 소상공인 지원 신규 플랜을 출시한다.,3,사회,경제
12724,ynat-v1_train_01062,"LG화학, 고강도 대책 발표...사업 구조조정 본격화",3,사회,경제
