,ID,text,predicted_value
108,ynat-v1_train_00192,"대기업 공장의 신규 안전 프로토콜 도입, 노동자 혜택 확장 검토",3
109,ynat-v1_train_00192,"서울 버스 노선 개편, 교통 혼잡 완화 기대",3
111,ynat-v1_train_00192,"건설 현장의 안전 강화 방안, 시간당 임금 제도 개편 논의",3
112,ynat-v1_train_00192,"인천 공항 활주로 폐쇄, 항공편 지연",3
113,ynat-v1_train_00192,대전 광역버스 요금 인상 계획 발표,3
114,ynat-v1_train_00192,서울 버스 교통사고로 3명 부상,3
115,ynat-v1_train_00192,KTX 열차 고장으로 승객 귀가 지연,3
116,ynat-v1_train_00192,지하철 1호선 전력 문제로 일시 중단,3
123,ynat-v1_train_00192,산업현장 안전 문제와 재발 방지를 위한 대책에 대한 논의가 필요하다.,3
126,ynat-v1_train_00192,서울 지하철 9호선 탈선 사고로 4명 부상,3
127,ynat-v1_train_00192,"의료 분야 AI 안전성 검증 위원회 출범, 환자 보호 나선다",3
129,ynat-v1_train_00192,"SPT 기둥 사고, 안전 조치에 대한 시간당 임금",3
130,ynat-v1_train_00192,"항공 업계, 자율주행 기술로 인한 안전 혁신 논의",3
132,ynat-v1_train_00192,"해양 운송업계, 자동화 시스템 도입으로 선원 안전 확보",3
133,ynat-v1_train_00192,"재생에너지 발전소, 안전 규제 강화로 전환 성공 사례 주목",3
135,ynat-v1_train_00192,"건축 프로젝트 안전 관리 시스템 개선, 근로자 시간제 임금 정책 개선",3
136,ynat-v1_train_00192,"신축 건물 안전 기준 강화, 시간제 노동자 보호 확대",3
137,ynat-v1_train_00192,"건축 산업 안전 규제, 근로자 시간당 보상 체계 재검토",3
138,ynat-v1_train_00198,"국내 유명 셰프, 새로운 요리 프로그램 론칭",3
141,ynat-v1_train_00198,버닝썬 게이트 다룬 그것이 알고 싶다,3
264,ynat-v1_train_00287,"정부, 대규모 국가 재난 대비 훈련 실시 예정",3
265,ynat-v1_train_00287,"국제 소방 연맹, 아시아 각국의 화재 대응 체계 개선 촉구",3
266,ynat-v1_train_00287,"환경 운동가들, 도시 내 공공 시설 화재 예방 캠페인 시작",3
267,ynat-v1_train_00287,기소식 8부 장관 내무 6일 화재 대책 발표,3
269,ynat-v1_train_00287,"교육청, 학교 내 화재 안전 교육 프로그램 강화 발표",3
276,ynat-v1_train_00298,글로벌 시장에서 주목받는 한국의 친환경 자동차 산업,3
277,ynat-v1_train_00298,"한국의 첨단 의료기술, 글로벌 헬스케어 시장을 향해 진격하다",3
278,ynat-v1_train_00298,"한국 전통 음식의 현대적 재해석, 글로벌 푸드 트렌드 주도",3
279,ynat-v1_train_00298,"세계적인 영화제, 한국 영화의 새로운 도약",3
281,ynat-v1_train_00298,"테크 혁신의 선두주자, 한국 AI 스타트업의 놀라운 성과",3
558,ynat-v1_train_00570,"기업들, ""재취업 지원 프로그램"" 확대 발표",3
559,ynat-v1_train_00570,"글로벌 인권 단체, 난민 보호 촉구 회의 개최",3
560,ynat-v1_train_00570,"국제 노동조합 연맹, 근로자 권익 보호 캠페인 시작",3
561,ynat-v1_train_00570,"정부, '해고라기' 시대정신 강조하며 새 정부 출범 기념 행사 개최",3
562,ynat-v1_train_00570,"세계 경제 포럼, 새 기술 혁신 발표로 주목",3
563,ynat-v1_train_00570,스타트업 경연대회서 혁신적 창업 아이디어 10개 선정,3
565,ynat-v1_train_00570,"국제 환경 기구, 탄소 중립 목표 달성 촉구",3
566,ynat-v1_train_00570,"전국 대학생 취준생 대상 ""청년 일자리 박람회"" 성황리에 종료",3
567,ynat-v1_train_00570,"국제 교육 기구, 교육 격차 해소 방안 발표",3
568,ynat-v1_train_00570,"""청년 고용의 날"" 기념, 전국 주요 도시에서 채용 박람회 동시 개최",3
569,ynat-v1_train_00570,중소기업 채용 지원을 위한 정부 보조금 증액 발표,3
588,ynat-v1_train_00624,"지역 주민, 정부의 도시 재개발 계획 비판",3
589,ynat-v1_train_00624,"대학생들, 등록금 인상 반대 시위 전개",3
590,ynat-v1_train_00624,"유명 배우, 아동 복지를 위한 기부 선언",3
592,ynat-v1_train_00624,"국제 인권 단체, 노동 착취 문제 제기",3
593,ynat-v1_train_00624,"대기업 CEO, 환경 보호 캠페인 시작",3
696,ynat-v1_train_00717,"태양광 패널 회사, 대규모 전력 공급 계약 체결",3
697,ynat-v1_train_00717,"신도시 개발 계획, 주택 시장에 긍정적인 효과 예상",3
698,ynat-v1_train_00717,"국제 환경 보호 협약, 지구 온난화 억제에 중요한 전환점 될 것",3
700,ynat-v1_train_00717,"대규모 보일러 사고, 철강 공장 생산 라인 중단.",3
701,ynat-v1_train_00717,"대형 기중기 사고, 철강 공장 생산 라인 멈춰",3
702,ynat-v1_train_00717,"인터넷 기반 교육 플랫폼, 학생 성적 향상 기록",3
703,ynat-v1_train_00717,"도심 재개발 프로젝트, 지역 주민들 기대감 고조",3
704,ynat-v1_train_00717,"친환경 자동차 제조 기업, 신모델 출시로 주목",3
707,ynat-v1_train_00717,"스마트 농업 기술 도입, 곡물 생산량 20% 증가",3
918,ynat-v1_train_00896,친환경 에너지 프로젝트 성공으로 지역 주민 급증,3
1319,ynat-v1_train_01372,"학생들, 미래 직업 탐색을 위한 학교 프로그램 도입",3
1324,ynat-v1_train_01372,"5~6학년 대상 직업 탐색 워크숍, 학생들의 진로 설계 시작",3
1325,ynat-v1_train_01372,학교 내 직업 체험 프로그램으로 아이들의 호기심 자극,3
1374,ynat-v1_train_01390,문화유산 보존을 위한 역사학자들의 보존 아이디어 공모전,3
1375,ynat-v1_train_01390,"소비자 권익 보호 단체, 혁신적 모바일 상품 아이디어 공모",3
1376,ynat-v1_train_01390,"권익단체, '모바일 상품' 공모전 개최...소비자 권익 보호 강화",3
1377,ynat-v1_train_01390,"교육 기관, 창의적 디지털 콘텐츠 공모전 도입...학생 참여 독려",3
1378,ynat-v1_train_01390,청소년 건강 증진을 위한 커뮤니티 활동 아이디어 모색,3
1379,ynat-v1_train_01390,"디지털 권리 옹호 단체, 개인정보 보호 기술 아이디어 모집",3
1380,ynat-v1_train_01390,"문화 재단, 예술 창작 아이디어 경연대회 개최...예술 발전 도모  ",3
1381,ynat-v1_train_01390,"환경 보호 단체, 친환경 제품 디자인 챌린지 발표",3
1382,ynat-v1_train_01390,교육 혁신을 위한 교사 대상 창의적 교육 프로그램 제안 공모,3
1383,ynat-v1_train_01390,"식품 업계, 건강한 식단 구성 아이디어 공모전 시작",3
1384,ynat-v1_train_01390,"환경 보호 단체, 친환경 가전제품 설계 공모전 개최",3
1385,ynat-v1_train_01390,"IT 기업, 혁신적 스마트홈 콘테스트 열어 사용자 편의성 향상",3
1387,ynat-v1_train_01394,"환경부, 전국 22개 지자체와 대기오염 공동 대응팀 구성",3
1388,ynat-v1_train_01394,"산림청, 전국 9개 산림보호 지역 관리단 신설",3
1389,ynat-v1_train_01394,"교통안전공단, 전국 12개 고속도로 안전 점검단 출범",3
1390,ynat-v1_train_01394,"아파트 투기 수사 부산경찰청, 전국 17개 시군 공동조사단이 문을 열었다.",3
1391,ynat-v1_train_01394,"한국관광공사, 전국 15개 관광 도시 협력단 설립",3
1589,ynat-v1_train_01686,"혐탄 폐지 후 변화하는 대학 강의 방식""",3
1590,ynat-v1_train_01686,"박사 학위 취득자의 증가, 혐탄 폐지 후 대학교육의 새 시대",3
1644,ynat-v1_train_01837,"도시재생 프로젝트, 문화 체험 공간으로 재탄생하다",3
1645,ynat-v1_train_01837,"영화감독협회, 창작 지원 프로그램 공모",3
1646,ynat-v1_train_01837,"글로벌 기업, 젊은 인재 양성을 위한 문화 강좌 시작",3
1648,ynat-v1_train_01837,"인기 스타트업 대표, 문화와 기술의 융합 세미나 개최",3
1704,ynat-v1_train_01892,"디지털 전환 성공 사례로 선정된 학교, 전국 교육계의 모델로 자리매김",3
1705,ynat-v1_train_01892,"미래 지향적 커리큘럼 도입 학교, 전국적으로 확산될 전망",3
1706,ynat-v1_train_01892,"교육 혁신가들의 연합, 새로운 교육 패러다임 제시",3
1707,ynat-v1_train_01892,"학부모와 교사가 선정한 최고의 교육 혁신 사례, 전국적인 관심 집중",3
1708,ynat-v1_train_01892,백승주 교육부 장관이 '교육혁신'을 주제로 수상했다.,3
1709,ynat-v1_train_01892,"해외에서 인정받은 혁신적 교육 프로그램, 글로벌 무대서 주목 받아",3
1740,ynat-v1_train_01934,맞춤형 교육 콘텐츠로 학생 학업 성취도 상승,3
1742,ynat-v1_train_01934,"헬스케어 플랫폼, 사용자 피드백 기반 기능 개선",3
1743,ynat-v1_train_01934,자기 주도적 학습 프로그램에서 고객 만족도를 높인다.,3
1744,ynat-v1_train_01934,"기업 맞춤형 AI 비서, 직원 생산성 20% 향상",3
1745,ynat-v1_train_01934,고객 체험 중심의 온라인 쇼핑몰 운영 전략,3
1756,ynat-v1_train_01956,서울시가 초미세먼지 감축 대책을 발표하면서 실효성에 대한 논란이 일고 있다.,3
1757,ynat-v1_train_01956,"서울시, 초미세 먼지 저감 대책 발표...실효성 논란",3
1764,ynat-v1_train_01959,대륙 간 금융 거래 투명성 강화 위해 다국적 기업 자산 검토,3
1765,ynat-v1_train_01959,"외교적 갈등 속, 각국 비밀 투자 계정 추적 본격화",3
1766,ynat-v1_train_01959,"정부, 국제 금융 기관과 협력해 글로벌 부동산 자산 조사 착수",3
1767,ynat-v1_train_01959,국외 파견 기준 재정비로 글로벌 인재 육성 목표,3
1768,ynat-v1_train_01959,해외 업무 효율성 높이기 위한 새 지침 마련,3
1770,ynat-v1_train_01959,세계 경제 포럼서 NFT 기술 혁신 발표,3
1771,ynat-v1_train_01959,투명성 강화한 해외 출장 제도 도입,3
1775,ynat-v1_train_01959,국외 연수 프로그램 개선안 발표,3
1776,ynat-v1_train_01959,"국제 탈세 협의, 숨겨진 글로벌 자산 조사 확대",3
1777,ynat-v1_train_01959,국외 여행 규정 개편으로 직원 만족도 상승,3
1778,ynat-v1_train_01959,"국제 학술지, 인공지능 의료 진단 연구 성과 발표",3
1779,ynat-v1_train_01959,"글로벌 IT 기업, 새로운 스마트 시티 프로젝트 공개",3
1830,ynat-v1_train_02001,"노동시간 단축 논의, 한낮의 더위와 함께 노동자 건강 위협",3
1831,ynat-v1_train_02001,"기업들의 유연근무제 도입, 업무 효율성과 직원 건강 개선 사례",3
1833,ynat-v1_train_02001,"직장인들의 피로 해소와 삶의 질 향상 방안""",3
1835,ynat-v1_train_02001,"근로 시간 단축, 하루의 열기와 함께 근로자들에게 가해지는 건강 위협에 대한 논의.",3
1836,ynat-v1_train_02001,"탄력적 근무 환경 조성, 직장 내 스트레스 감소 및 직무 만족도를 높이는 방법",3
1837,ynat-v1_train_02001,"폭염 속 야외 노동자들, 건강 악화 우려 확산",3
1838,ynat-v1_train_02001,"여름철 노동시간 단축 방안, 직장인 건강 보호 핵심",3
1839,ynat-v1_train_02001,"한낮의 더위 속 근로자들의 피로증가, 안전 대책 시급",3
1840,ynat-v1_train_02001,"에어컨 없는 야외근무 현실, 노동자 건강문제 대두",3
1841,ynat-v1_train_02001,"여름철 폭염, 직장인들의 건강 위협...근무 환경 개선 논의",3
1890,ynat-v1_train_02072,"대법원, 과거 판결 재검토로 역사적 사례 재정립",3
1891,ynat-v1_train_02072,"법원, 과거 재판 분석 통해 법률 체계 개선 착수",3
1892,ynat-v1_train_02072,"헌법재판소, 옛 판례 비판하며 새로운 해석 방향 제시",3
1893,ynat-v1_train_02072,"법원 사진, 과거 판결에 대한 재고.",3
1894,ynat-v1_train_02072,"법원, 과거 주요 사건 재심 요청 비율 증가",3
1895,ynat-v1_train_02072,"사법부, 과거 판례 재검토로 현대 법적 기준 재정비",3
2011,ynat-v1_train_02240,"새로운 도서관 정책, 지역사회 안전망 강화",3
2012,ynat-v1_train_02240,"집적 도서관 프로젝트, 지역 주민의 지식 접근성 확대",3
2013,ynat-v1_train_02240,"지역 거점 도서관, 교육 및 복지 허브로 탈바꿈",3
2058,ynat-v1_train_02260,"대형 태풍 상륙 앞둔 도시, 비상 대피 훈련 실시",3
2059,ynat-v1_train_02260,도시 재난 관리 시스템 혁신으로 주민 안전 보장,3
2060,ynat-v1_train_02260,첨단 기술로 실시간 모니터링 강화된 스마트 시티 화재 대응,3
2061,ynat-v1_train_02260,도심 속 화재 경보 시스템 업데이트로 긴급 대피 성공,3
2062,ynat-v1_train_02260,"신규 감염병 발발, 국제 보건 기구 긴급 회의 소집",3
2063,ynat-v1_train_02260,"대규모 정전 사태, 정부 전력 회사 즉각 대응",3
2064,ynat-v1_train_02260,"초강력 지진 발생, 국가 재난 관리 시스템 가동",3
2065,ynat-v1_train_02260,지능형 자동화 시스템 도입 후 화재 진압 속도 향상,3
2066,ynat-v1_train_02260,최신 화재 감지 기술 도입으로 위기 모면한 아파트 단지,3
2067,ynat-v1_train_02260,"도시 전역 교통 통제, 자연재해 대비 특별 조치 시행",3
2068,ynat-v1_train_02260,"산불의 확산, 지역 사회의 비상 대응 시스템으로의 진입.",3
2069,ynat-v1_train_02260,"산불 확산, 지역 사회 긴급 대응 체제 돌입",3
2088,ynat-v1_train_02291,"대형 유통사, 정부 지원금 500억원 횡령 혐의로 직원 체포",3
2089,ynat-v1_train_02291,"고속철도 공기업, 200억원 기술 보조금 무단 전용",3
2090,ynat-v1_train_02291,"국내 유명 박물관, 교육 후원금 150억원 유용 체포",3
2091,ynat-v1_train_02291,"유명 여행사, 고객 환불금 50억원 부정수급 체포",3
2092,ynat-v1_train_02291,매일 울면서 '6억5천만원의 바우처'를 횡령한 공무원 체포.,3
2093,ynat-v1_train_02291,"대형 제약사, 300억원 의약품 보조금 횡령 사건 발생",3
2298,ynat-v1_train_02596,"교육부 장관이 ""학생 안전""과 관련된 정책을 발표할 예정입니다...",3
2299,ynat-v1_train_02596,"교육부, 새로운 학습 공간 설계 지침 발표",3
2300,ynat-v1_train_02596,"교육부, 청소년 정신 건강 지원 프로그램 도입",3
2301,ynat-v1_train_02596,친환경 학교 시설 프로그램 도입으로 지속 가능한 교육 환경 구축,3
2302,ynat-v1_train_02596,"교육부, 교사 직업 안정성 강화 방안 공개",3
2303,ynat-v1_train_02596,"교육부, 전국 학교 영양 기준 개정 발표",3
2304,ynat-v1_train_02596,"교육부, 혁신적인 학습 환경 조성 위한 새로운 캠페인 발표",3
2305,ynat-v1_train_02596,전 세계 학교들이 도입할 새로운 온라인 학습 기술 공개,3
2306,ynat-v1_train_02596,학생 정신 건강 개선 위한 교육 커리큘럼 개편 논의,3
2307,ynat-v1_train_02596,미래 직업을 위한 코딩 교육 확대 계획 발표,3
2308,ynat-v1_train_02596,"교육부, 디지털 교실 프로젝트 확대 계획 발표",3
2309,ynat-v1_train_02596,"교육부 장관, '학생 안전' 관련 정책 발표 예정인데...",3
2375,ynat-v1_train_02732,7월 1일부터 도로 청소 의무화,3
2395,ynat-v1_train_02767,1월 전국적으로 청년층의 일자리가 크게 늘었다.,3
2396,ynat-v1_train_02767,"6월 청년층, 환경 보호 운동으로 지방 자치 단체 참여 확대",3
2397,ynat-v1_train_02767,4월 청년층 주택 임대 시장 활성화,3
2398,ynat-v1_train_02767,"3월 대학 졸업생들, 지역 사회 봉사 활동 증가",3
2399,ynat-v1_train_02767,2월 청소년 창업 열풍으로 전국적으로 스타트업 급증,3
